keyword,destination_url
shortlinks,https://github.com/hyphacoop/shortlinks/blob/master/shortlinks.csv
keywords,https://link.hypha.coop/shortlinks
drive,https://drive.google.com/drive/u/0/folders/14KYnYwOEK3InYZ3jCn-Gtf5q430sE9oc
gdrive,https://link.hypha.coop/drive
loomio,https://loomio.hypha.coop
github,https://github.com/hyphacoop
gh,https://github.com/hyphacoop
handbook,https://github.com/hyphacoop/handbook
chat,https://chat.tomesh.net/#/room/#tech-coop:tomesh.net
template,https://raw.githubusercontent.com/hyphacoop/organizing/master/-meeting-template.md
glossary,https://github.com/hyphacoop/handbook/issues/4
agendas,https://github.com/hyphacoop/december-retreat
reading-pool,https://github.com/hyphacoop/handbook/blob/master/reading-pool.md
roles,https://github.com/hyphacoop/handbook/blob/master/roles.md
values,https://github.com/hyphacoop/handbook/blob/master/values.md
retreat-playbook,https://github.com/hyphacoop/organizing/blob/master/2018-december-retreat/2018-11-28-retreat-playbook.md
linkedin,https://www.linkedin.com/company/hyphacoop/
cron,https://github.com/hyphacoop/worker-coop-scripts
scheduled-tasks,https://github.com/hyphacoop/worker-coop-scripts
inventory,https://hackmd.io/@patcon/HyH0W9bAE
leads,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=0
opportunities,https://link.hypha.coop/leads
conversions,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=30829554
slogans,https://hackmd.io/s/HkRaA_woE
chants,https://hackmd.io/s/Bk-BO6viN
twitter,https://twitter.com/hyphacoop
logs,https://circleci.com/gh/hyphacoop/worker-coop-scripts/tree/master
interviews,https://docs.google.com/spreadsheets/d/1vjnT0afFh-Ss1BCYZg7nuLyjwZqzRLsSzkhej_OdoFo/edit#gid=0
schedules,https://www.when2meet.com/?7708144-gVsJ3
donations,https://docs.google.com/spreadsheets/d/1DpnzCpXWgQr66nFJFIlpa5XSBrt8IfZaLVZH0_q6kcA/edit#gid=2079904514
working-open,https://github.com/hyphacoop/handbook/blob/master/working-open.md
calls,https://meet.jit.si/hyphacoop
calendar,https://calendar.google.com/calendar/embed?src=s2224p8sptnujs736vplf9anjo@group.calendar.google.com
biz-wg,https://loomio.hypha.coop/g/ojZI2bPl/working-groups-business-planning
fin-wg,https://loomio.hypha.coop/g/sRPwaorg/working-groups-finance
gov-wg,https://loomio.hypha.coop/g/BaAj6dQn/working-groups-governance-by-laws-incorporation-articles-gm-
ops-wg,https://loomio.hypha.coop/g/KvARWad7/working-groups-infrastructure-and-operations
finances,https://docs.google.com/spreadsheets/d/1ZHCGpTCA3YNvYI4aW1dU9UKsCeMyAcR5oPmB2yAavOs/edit#gid=0
facebook,https://www.facebook.com/hyphacoop/
fb,https://www.facebook.com/hyphacoop/
photos,https://drive.google.com/drive/u/0/folders/105SjE7YSlaIyhJvSw7aMnkfKjUtaXNcr
meetings,https://hackmd.io/c/v6ygUjDeRKaSeoi3BqpSMg
availability,https://calendar.google.com/calendar/embed?src=e2gv1tt0kkqq59c8jh7tgknvc8@group.calendar.google.com
contacts,https://docs.google.com/spreadsheets/d/1LyElXvLj7ASclSPQqcgOnuEWqBWBStilEfOhIosZzhA/edit#gid=1538436479
standup-template,https://raw.githubusercontent.com/hyphacoop/organizing/master/-standup-template.md
